"initial_alias","converted_alias","name","description","namespace"
"55763","55763","EXOC1","exocyst complex component 1 [Source:HGNC Symbol;Acc:HGNC:30380]","ENTREZGENE_ACC"
"55608","55608","ANKRD10","ankyrin repeat domain 10 [Source:HGNC Symbol;Acc:HGNC:20265]","ENTREZGENE_ACC"
"22911","22911","WDR47","WD repeat domain 47 [Source:HGNC Symbol;Acc:HGNC:29141]","ENTREZGENE_ACC"
"50809","50809","HP1BP3","heterochromatin protein 1 binding protein 3 [Source:HGNC Symbol;Acc:HGNC:24973]","ENTREZGENE_ACC"
"116238","116238","TLCD1","TLC domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25177]","ENTREZGENE_ACC"
"8360","8360","H4C4","H4 clustered histone 4 [Source:HGNC Symbol;Acc:HGNC:4782]","ENTREZGENE_ACC"
"9343","9343","EFTUD2","elongation factor Tu GTP binding domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30858]","ENTREZGENE_ACC"
"55954","55954","ZMAT5","zinc finger matrin-type 5 [Source:HGNC Symbol;Acc:HGNC:28046]","ENTREZGENE_ACC"
"7311","7311","UBA52","ubiquitin A-52 residue ribosomal protein fusion product 1 [Source:HGNC Symbol;Acc:HGNC:12458]","ENTREZGENE_ACC"
"5479","5479","PPIB","peptidylprolyl isomerase B [Source:HGNC Symbol;Acc:HGNC:9255]","ENTREZGENE_ACC"
"643008","643008","SMIM5","small integral membrane protein 5 [Source:HGNC Symbol;Acc:HGNC:40030]","ENTREZGENE_ACC"
"51388","51388","NIP7","nucleolar pre-rRNA processing protein NIP7 [Source:HGNC Symbol;Acc:HGNC:24328]","ENTREZGENE_ACC"
"84100","84100","ARL6","ADP ribosylation factor like GTPase 6 [Source:HGNC Symbol;Acc:HGNC:13210]","ENTREZGENE_ACC"
"11100","11100","HNRNPUL1","heterogeneous nuclear ribonucleoprotein U like 1 [Source:HGNC Symbol;Acc:HGNC:17011]","ENTREZGENE_ACC"
"112479","112479","ERI2","ERI1 exoribonuclease family member 2 [Source:HGNC Symbol;Acc:HGNC:30541]","ENTREZGENE_ACC"
"10006","10006","ABI1","abl interactor 1 [Source:HGNC Symbol;Acc:HGNC:11320]","ENTREZGENE_ACC"
"2189","2189","FANCG","FA complementation group G [Source:HGNC Symbol;Acc:HGNC:3588]","ENTREZGENE_ACC"
"4998","4998","ORC1","origin recognition complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:8487]","ENTREZGENE_ACC"
"22907","22907","DHX30","DExH-box helicase 30 [Source:HGNC Symbol;Acc:HGNC:16716]","ENTREZGENE_ACC"
"9295","9295","SRSF11","serine and arginine rich splicing factor 11 [Source:HGNC Symbol;Acc:HGNC:10782]","ENTREZGENE_ACC"
"195827","195827","PRXL2C","peroxiredoxin like 2C [Source:HGNC Symbol;Acc:HGNC:16881]","ENTREZGENE_ACC"
"10142","10142","AKAP9","A-kinase anchoring protein 9 [Source:HGNC Symbol;Acc:HGNC:379]","ENTREZGENE_ACC"
"23505","23505","TMEM131","transmembrane protein 131 [Source:HGNC Symbol;Acc:HGNC:30366]","ENTREZGENE_ACC"
"3150","3150","HMGN1","high mobility group nucleosome binding domain 1 [Source:HGNC Symbol;Acc:HGNC:4984]","ENTREZGENE_ACC"
"11147","11147","HHLA3","HERV-H LTR-associating 3 [Source:HGNC Symbol;Acc:HGNC:4906]","ENTREZGENE_ACC"
"5909","5909","RAP1GAP","RAP1 GTPase activating protein [Source:HGNC Symbol;Acc:HGNC:9858]","ENTREZGENE_ACC"
"84844","84844","PHF5A","PHD finger protein 5A [Source:HGNC Symbol;Acc:HGNC:18000]","ENTREZGENE_ACC"
"7706","7706","TRIM25","tripartite motif containing 25 [Source:HGNC Symbol;Acc:HGNC:12932]","ENTREZGENE_ACC"
"3418","3418","IDH2","isocitrate dehydrogenase (NADP(+)) 2 [Source:HGNC Symbol;Acc:HGNC:5383]","ENTREZGENE_ACC"
"57117","57117","INTS12","integrator complex subunit 12 [Source:HGNC Symbol;Acc:HGNC:25067]","ENTREZGENE_ACC"
"10813","10813","UTP14A","UTP14A small subunit processome component [Source:HGNC Symbol;Acc:HGNC:10665]","ENTREZGENE_ACC"
"116224","116224","PABIR1","PP2A Aalpha (PPP2R1A) and B55A (PPP2R2A) interacting phosphatase regulator 1 [Source:HGNC Symbol;Acc:HGNC:23490]","ENTREZGENE_ACC"
"6591","6591","SNAI2","snail family transcriptional repressor 2 [Source:HGNC Symbol;Acc:HGNC:11094]","ENTREZGENE_ACC"
"9653","9653","HS2ST1","heparan sulfate 2-O-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5193]","ENTREZGENE_ACC"
"6642","6642","SNX1","sorting nexin 1 [Source:HGNC Symbol;Acc:HGNC:11172]","ENTREZGENE_ACC"
"266747","266747","RGL4","ral guanine nucleotide dissociation stimulator like 4 [Source:HGNC Symbol;Acc:HGNC:31911]","ENTREZGENE_ACC"
"170482","170482","CLEC4C","C-type lectin domain family 4 member C [Source:HGNC Symbol;Acc:HGNC:13258]","ENTREZGENE_ACC"
"4705","4705","NDUFA10","NADH:ubiquinone oxidoreductase subunit A10 [Source:HGNC Symbol;Acc:HGNC:7684]","ENTREZGENE_ACC"
"113115","113115","MTFR2","mitochondrial fission regulator 2 [Source:HGNC Symbol;Acc:HGNC:21115]","ENTREZGENE_ACC"
"22839","22839","DLGAP4","DLG associated protein 4 [Source:HGNC Symbol;Acc:HGNC:24476]","ENTREZGENE_ACC"
"51072","51072","MEMO1","mediator of cell motility 1 [Source:HGNC Symbol;Acc:HGNC:14014]","ENTREZGENE_ACC"
"2317","2317","FLNB","filamin B [Source:HGNC Symbol;Acc:HGNC:3755]","ENTREZGENE_ACC"
"100129792","100129792","CCDC152","coiled-coil domain containing 152 [Source:HGNC Symbol;Acc:HGNC:34438]","ENTREZGENE_ACC"
"1457","1457","CSNK2A1","casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457]","ENTREZGENE_ACC"
"30833","30833","NT5C","5', 3'-nucleotidase, cytosolic [Source:HGNC Symbol;Acc:HGNC:17144]","ENTREZGENE_ACC"
"143872","143872","ARHGAP42","Rho GTPase activating protein 42 [Source:HGNC Symbol;Acc:HGNC:26545]","ENTREZGENE_ACC"
"55139","55139","ANKZF1","ankyrin repeat and zinc finger peptidyl tRNA hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:25527]","ENTREZGENE_ACC"
"2030","2030","SLC29A1","solute carrier family 29 member 1 (Augustine blood group) [Source:HGNC Symbol;Acc:HGNC:11003]","ENTREZGENE_ACC"
"347734","347734","SLC35B2","solute carrier family 35 member B2 [Source:HGNC Symbol;Acc:HGNC:16872]","ENTREZGENE_ACC"
"1662","1662","DDX10","DEAD-box helicase 10 [Source:HGNC Symbol;Acc:HGNC:2735]","ENTREZGENE_ACC"
"84542","84542","KIAA1841","KIAA1841 [Source:HGNC Symbol;Acc:HGNC:29387]","ENTREZGENE_ACC"
"114785","114785","MBD6","methyl-CpG binding domain protein 6 [Source:HGNC Symbol;Acc:HGNC:20445]","ENTREZGENE_ACC"
"51773","51773","RSF1","remodeling and spacing factor 1 [Source:HGNC Symbol;Acc:HGNC:18118]","ENTREZGENE_ACC"
"10483","10483","SEC23B","SEC23 homolog B, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10702]","ENTREZGENE_ACC"
"89910","89910","UBE3B","ubiquitin protein ligase E3B [Source:HGNC Symbol;Acc:HGNC:13478]","ENTREZGENE_ACC"
"124152","124152","IQCK","IQ motif containing K [Source:HGNC Symbol;Acc:HGNC:28556]","ENTREZGENE_ACC"
"253959","253959","RALGAPA1","Ral GTPase activating protein catalytic subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:17770]","ENTREZGENE_ACC"
"23144","23144","ZC3H3","zinc finger CCCH-type containing 3 [Source:HGNC Symbol;Acc:HGNC:28972]","ENTREZGENE_ACC"
"65992","65992","DDRGK1","DDRGK domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16110]","ENTREZGENE_ACC"
"116143","116143","WDR92","WD repeat domain 92 [Source:HGNC Symbol;Acc:HGNC:25176]","ENTREZGENE_ACC"
"283237","283237","TTC9C","tetratricopeptide repeat domain 9C [Source:HGNC Symbol;Acc:HGNC:28432]","ENTREZGENE_ACC"
"55732","55732","C1orf112","chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565]","ENTREZGENE_ACC"
"55255","55255","WDR41","WD repeat domain 41 [Source:HGNC Symbol;Acc:HGNC:25601]","ENTREZGENE_ACC"
"55680","55680","RUFY2","RUN and FYVE domain containing 2 [Source:HGNC Symbol;Acc:HGNC:19761]","ENTREZGENE_ACC"
"7324","7324","UBE2E1","ubiquitin conjugating enzyme E2 E1 [Source:HGNC Symbol;Acc:HGNC:12477]","ENTREZGENE_ACC"
"55739","55739","NAXD","NAD(P)HX dehydratase [Source:HGNC Symbol;Acc:HGNC:25576]","ENTREZGENE_ACC"
"143279","143279","HECTD2","HECT domain E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:26736]","ENTREZGENE_ACC"
"127018","127018","LYPLAL1","lysophospholipase like 1 [Source:HGNC Symbol;Acc:HGNC:20440]","ENTREZGENE_ACC"
"84343","84343","HPS3","HPS3 biogenesis of lysosomal organelles complex 2 subunit 1 [Source:HGNC Symbol;Acc:HGNC:15597]","ENTREZGENE_ACC"
"51076","51076","CUTC","cutC copper transporter [Source:HGNC Symbol;Acc:HGNC:24271]","ENTREZGENE_ACC"
"150094","150094","SIK1","salt inducible kinase 1 [Source:HGNC Symbol;Acc:HGNC:11142]","ENTREZGENE_ACC"
"64431","64431","ACTR6","actin related protein 6 [Source:HGNC Symbol;Acc:HGNC:24025]","ENTREZGENE_ACC"
"55681","55681","SCYL2","SCY1 like pseudokinase 2 [Source:HGNC Symbol;Acc:HGNC:19286]","ENTREZGENE_ACC"
"55294","55294","FBXW7","F-box and WD repeat domain containing 7 [Source:HGNC Symbol;Acc:HGNC:16712]","ENTREZGENE_ACC"
"661","661","POLR3D","RNA polymerase III subunit D [Source:HGNC Symbol;Acc:HGNC:1080]","ENTREZGENE_ACC"
"10190","10190","TXNDC9","thioredoxin domain containing 9 [Source:HGNC Symbol;Acc:HGNC:24110]","ENTREZGENE_ACC"
"65056","65056","GPBP1","GC-rich promoter binding protein 1 [Source:HGNC Symbol;Acc:HGNC:29520]","ENTREZGENE_ACC"
"9020","9020","MAP3K14","mitogen-activated protein kinase kinase kinase 14 [Source:HGNC Symbol;Acc:HGNC:6853]","ENTREZGENE_ACC"
"9183","9183","ZW10","zw10 kinetochore protein [Source:HGNC Symbol;Acc:HGNC:13194]","ENTREZGENE_ACC"
"10524","10524","KAT5","lysine acetyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:5275]","ENTREZGENE_ACC"
"1981","1981","EIF4G1","eukaryotic translation initiation factor 4 gamma 1 [Source:HGNC Symbol;Acc:HGNC:3296]","ENTREZGENE_ACC"
"80790","80790","CMIP","c-Maf inducing protein [Source:HGNC Symbol;Acc:HGNC:24319]","ENTREZGENE_ACC"
"10114","10114","HIPK3","homeodomain interacting protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:4915]","ENTREZGENE_ACC"
"10558","10558","SPTLC1","serine palmitoyltransferase long chain base subunit 1 [Source:HGNC Symbol;Acc:HGNC:11277]","ENTREZGENE_ACC"
"6945","6945","MLX","MAX dimerization protein MLX [Source:HGNC Symbol;Acc:HGNC:11645]","ENTREZGENE_ACC"
"9139","9139","CBFA2T2","CBFA2/RUNX1 partner transcriptional co-repressor 2 [Source:HGNC Symbol;Acc:HGNC:1536]","ENTREZGENE_ACC"
"26297","26297","SERGEF","secretion regulating guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:17499]","ENTREZGENE_ACC"
"9263","9263","STK17A","serine/threonine kinase 17a [Source:HGNC Symbol;Acc:HGNC:11395]","ENTREZGENE_ACC"
"7570","7570","ZNF22","zinc finger protein 22 [Source:HGNC Symbol;Acc:HGNC:13012]","ENTREZGENE_ACC"
"6654","6654","SOS1","SOS Ras/Rac guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:11187]","ENTREZGENE_ACC"
"118487","118487","CHCHD1","coiled-coil-helix-coiled-coil-helix domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23518]","ENTREZGENE_ACC"
"6671","6671","SP4","Sp4 transcription factor [Source:HGNC Symbol;Acc:HGNC:11209]","ENTREZGENE_ACC"
"10636","10636","RGS14","regulator of G protein signaling 14 [Source:HGNC Symbol;Acc:HGNC:9996]","ENTREZGENE_ACC"
"9887","9887","SMG7","SMG7 nonsense mediated mRNA decay factor [Source:HGNC Symbol;Acc:HGNC:16792]","ENTREZGENE_ACC"
"51098","51098","IFT52","intraflagellar transport 52 [Source:HGNC Symbol;Acc:HGNC:15901]","ENTREZGENE_ACC"
"79903","79903","NAA60","N-alpha-acetyltransferase 60, NatF catalytic subunit [Source:HGNC Symbol;Acc:HGNC:25875]","ENTREZGENE_ACC"
"23423","23423","TMED3","transmembrane p24 trafficking protein 3 [Source:HGNC Symbol;Acc:HGNC:28889]","ENTREZGENE_ACC"
"60314","60314","MYG1","MYG1 exonuclease [Source:HGNC Symbol;Acc:HGNC:17590]","ENTREZGENE_ACC"
"50640","50640","PNPLA8","patatin like phospholipase domain containing 8 [Source:HGNC Symbol;Acc:HGNC:28900]","ENTREZGENE_ACC"
"23637","23637","RABGAP1","RAB GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:17155]","ENTREZGENE_ACC"
"388552","388552","BLOC1S3","biogenesis of lysosomal organelles complex 1 subunit 3 [Source:HGNC Symbol;Acc:HGNC:20914]","ENTREZGENE_ACC"
"148523","148523","CIART","circadian associated repressor of transcription [Source:HGNC Symbol;Acc:HGNC:25200]","ENTREZGENE_ACC"
"81887","81887","LAS1L","LAS1 like ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]","ENTREZGENE_ACC"
"93627","93627","TBCK","TBC1 domain containing kinase [Source:HGNC Symbol;Acc:HGNC:28261]","ENTREZGENE_ACC"
"5295","5295","PIK3R1","phosphoinositide-3-kinase regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8979]","ENTREZGENE_ACC"
"23207","23207","PLEKHM2","pleckstrin homology and RUN domain containing M2 [Source:HGNC Symbol;Acc:HGNC:29131]","ENTREZGENE_ACC"
"79009","79009","DDX50","DExD-box helicase 50 [Source:HGNC Symbol;Acc:HGNC:17906]","ENTREZGENE_ACC"
"5981","5981","RFC1","replication factor C subunit 1 [Source:HGNC Symbol;Acc:HGNC:9969]","ENTREZGENE_ACC"
"55625","55625","ZDHHC7","zinc finger DHHC-type palmitoyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:18459]","ENTREZGENE_ACC"
"29937","29937","NENF","neudesin neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:30384]","ENTREZGENE_ACC"
"5605","5605","MAP2K2","mitogen-activated protein kinase kinase 2 [Source:HGNC Symbol;Acc:HGNC:6842]","ENTREZGENE_ACC"
"113246","113246","C12orf57","chromosome 12 open reading frame 57 [Source:HGNC Symbol;Acc:HGNC:29521]","ENTREZGENE_ACC"
"51571","51571","CYRIB","CYFIP related Rac1 interactor B [Source:HGNC Symbol;Acc:HGNC:25216]","ENTREZGENE_ACC"
"51143","51143","DYNC1LI1","dynein cytoplasmic 1 light intermediate chain 1 [Source:HGNC Symbol;Acc:HGNC:18745]","ENTREZGENE_ACC"
"10787","10787","NCKAP1","NCK associated protein 1 [Source:HGNC Symbol;Acc:HGNC:7666]","ENTREZGENE_ACC"
"124801","124801","LSM12","LSM12 homolog [Source:HGNC Symbol;Acc:HGNC:26407]","ENTREZGENE_ACC"
"8315","8315","BRAP","BRCA1 associated protein [Source:HGNC Symbol;Acc:HGNC:1099]","ENTREZGENE_ACC"
"23590","23590","PDSS1","decaprenyl diphosphate synthase subunit 1 [Source:HGNC Symbol;Acc:HGNC:17759]","ENTREZGENE_ACC"
"801","801","CALM1","calmodulin 1 [Source:HGNC Symbol;Acc:HGNC:1442]","ENTREZGENE_ACC"
"57560","57560","IFT80","intraflagellar transport 80 [Source:HGNC Symbol;Acc:HGNC:29262]","ENTREZGENE_ACC"
"7165","7165","TPD52L2","TPD52 like 2 [Source:HGNC Symbol;Acc:HGNC:12007]","ENTREZGENE_ACC"
"23234","23234","DNAJC9","DnaJ heat shock protein family (Hsp40) member C9 [Source:HGNC Symbol;Acc:HGNC:19123]","ENTREZGENE_ACC"
"3257","3257","HPS1","HPS1 biogenesis of lysosomal organelles complex 3 subunit 1 [Source:HGNC Symbol;Acc:HGNC:5163]","ENTREZGENE_ACC"
"8339","8339","H2BC8","H2B clustered histone 8 [Source:HGNC Symbol;Acc:HGNC:4746]","ENTREZGENE_ACC"
"1822","1822","ATN1","atrophin 1 [Source:HGNC Symbol;Acc:HGNC:3033]","ENTREZGENE_ACC"
"113251","113251","LARP4","La ribonucleoprotein 4 [Source:HGNC Symbol;Acc:HGNC:24320]","ENTREZGENE_ACC"
"57636","57636","ARHGAP23","Rho GTPase activating protein 23 [Source:HGNC Symbol;Acc:HGNC:29293]","ENTREZGENE_ACC"
"23645","23645","PPP1R15A","protein phosphatase 1 regulatory subunit 15A [Source:HGNC Symbol;Acc:HGNC:14375]","ENTREZGENE_ACC"
"382","382","ARF6","ADP ribosylation factor 6 [Source:HGNC Symbol;Acc:HGNC:659]","ENTREZGENE_ACC"
"64834","64834","ELOVL1","ELOVL fatty acid elongase 1 [Source:HGNC Symbol;Acc:HGNC:14418]","ENTREZGENE_ACC"
"7443","7443","VRK1","VRK serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:12718]","ENTREZGENE_ACC"
"3177","3177","SLC29A2","solute carrier family 29 member 2 [Source:HGNC Symbol;Acc:HGNC:11004]","ENTREZGENE_ACC"
"406","406","ARNTL","aryl hydrocarbon receptor nuclear translocator like [Source:HGNC Symbol;Acc:HGNC:701]","ENTREZGENE_ACC"
"29855","29855","UBN1","ubinuclein 1 [Source:HGNC Symbol;Acc:HGNC:12506]","ENTREZGENE_ACC"
"27297","27297","CRCP","CGRP receptor component [Source:HGNC Symbol;Acc:HGNC:17888]","ENTREZGENE_ACC"
"55768","55768","NGLY1","N-glycanase 1 [Source:HGNC Symbol;Acc:HGNC:17646]","ENTREZGENE_ACC"
"26115","26115","TANC2","tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2 [Source:HGNC Symbol;Acc:HGNC:30212]","ENTREZGENE_ACC"
"6041","6041","RNASEL","ribonuclease L [Source:HGNC Symbol;Acc:HGNC:10050]","ENTREZGENE_ACC"
"114876","114876","OSBPL1A","oxysterol binding protein like 1A [Source:HGNC Symbol;Acc:HGNC:16398]","ENTREZGENE_ACC"
"29072","29072","SETD2","SET domain containing 2, histone lysine methyltransferase [Source:HGNC Symbol;Acc:HGNC:18420]","ENTREZGENE_ACC"
"116071","116071","BATF2","basic leucine zipper ATF-like transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:25163]","ENTREZGENE_ACC"
"113189","113189","CHST14","carbohydrate sulfotransferase 14 [Source:HGNC Symbol;Acc:HGNC:24464]","ENTREZGENE_ACC"
"79791","79791","FBXO31","F-box protein 31 [Source:HGNC Symbol;Acc:HGNC:16510]","ENTREZGENE_ACC"
"146439","146439","BICDL2","BICD family like cargo adaptor 2 [Source:HGNC Symbol;Acc:HGNC:33584]","ENTREZGENE_ACC"
"27068","27068","PPA2","inorganic pyrophosphatase 2 [Source:HGNC Symbol;Acc:HGNC:28883]","ENTREZGENE_ACC"
"23555","23555","TSPAN15","tetraspanin 15 [Source:HGNC Symbol;Acc:HGNC:23298]","ENTREZGENE_ACC"
"9526","9526","MPDU1","mannose-P-dolichol utilization defect 1 [Source:HGNC Symbol;Acc:HGNC:7207]","ENTREZGENE_ACC"
"2193","2193","FARSA","phenylalanyl-tRNA synthetase subunit alpha [Source:HGNC Symbol;Acc:HGNC:3592]","ENTREZGENE_ACC"
"1039","1039","CDR2","cerebellar degeneration related protein 2 [Source:HGNC Symbol;Acc:HGNC:1799]","ENTREZGENE_ACC"
"60370","60370","AVPI1","arginine vasopressin induced 1 [Source:HGNC Symbol;Acc:HGNC:30898]","ENTREZGENE_ACC"
"6738","6738","RO60","Ro60, Y RNA binding protein [Source:HGNC Symbol;Acc:HGNC:11313]","ENTREZGENE_ACC"
"79023","79023","NUP37","nucleoporin 37 [Source:HGNC Symbol;Acc:HGNC:29929]","ENTREZGENE_ACC"
"3313","3313","HSPA9","heat shock protein family A (Hsp70) member 9 [Source:HGNC Symbol;Acc:HGNC:5244]","ENTREZGENE_ACC"
"79441","79441","HAUS3","HAUS augmin like complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:28719]","ENTREZGENE_ACC"
"6881","6881","TAF10","TATA-box binding protein associated factor 10 [Source:HGNC Symbol;Acc:HGNC:11543]","ENTREZGENE_ACC"
"25901","25901","CCDC28A","coiled-coil domain containing 28A [Source:HGNC Symbol;Acc:HGNC:21098]","ENTREZGENE_ACC"
"51574","51574","LARP7","La ribonucleoprotein 7, transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:24912]","ENTREZGENE_ACC"
"977","977","CD151","CD151 molecule (Raph blood group) [Source:HGNC Symbol;Acc:HGNC:1630]","ENTREZGENE_ACC"
"83787","83787","ARMC10","armadillo repeat containing 10 [Source:HGNC Symbol;Acc:HGNC:21706]","ENTREZGENE_ACC"
"56105","56105","PCDHGA11","protocadherin gamma subfamily A, 11 [Source:HGNC Symbol;Acc:HGNC:8698]","ENTREZGENE_ACC"
"1545","1545","CYP1B1","cytochrome P450 family 1 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2597]","ENTREZGENE_ACC"
"123879","123879","DCUN1D3","defective in cullin neddylation 1 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:28734]","ENTREZGENE_ACC"
"79789","79789","CLMN","calmin [Source:HGNC Symbol;Acc:HGNC:19972]","ENTREZGENE_ACC"
"444","444","ASPH","aspartate beta-hydroxylase [Source:HGNC Symbol;Acc:HGNC:757]","ENTREZGENE_ACC"
"2887","2887","GRB10","growth factor receptor bound protein 10 [Source:HGNC Symbol;Acc:HGNC:4564]","ENTREZGENE_ACC"
"10328","10328","EMC8","ER membrane protein complex subunit 8 [Source:HGNC Symbol;Acc:HGNC:7864]","ENTREZGENE_ACC"
"51530","51530","ZC3HC1","zinc finger C3HC-type containing 1 [Source:HGNC Symbol;Acc:HGNC:29913]","ENTREZGENE_ACC"
"5093","5093","PCBP1","poly(rC) binding protein 1 [Source:HGNC Symbol;Acc:HGNC:8647]","ENTREZGENE_ACC"
"163859","163859","SDE2","SDE2 telomere maintenance homolog [Source:HGNC Symbol;Acc:HGNC:26643]","ENTREZGENE_ACC"
"121260","121260","SLC15A4","solute carrier family 15 member 4 [Source:HGNC Symbol;Acc:HGNC:23090]","ENTREZGENE_ACC"
"282974","282974","STK32C","serine/threonine kinase 32C [Source:HGNC Symbol;Acc:HGNC:21332]","ENTREZGENE_ACC"
"51119","51119","SBDS","SBDS ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:19440]","ENTREZGENE_ACC"
"27316","27316","RBMX","RNA binding motif protein X-linked [Source:HGNC Symbol;Acc:HGNC:9910]","ENTREZGENE_ACC"
"54892","54892","NCAPG2","non-SMC condensin II complex subunit G2 [Source:HGNC Symbol;Acc:HGNC:21904]","ENTREZGENE_ACC"
"667","667","DST","dystonin [Source:HGNC Symbol;Acc:HGNC:1090]","ENTREZGENE_ACC"
"151473","151473","SLC16A14","solute carrier family 16 member 14 [Source:HGNC Symbol;Acc:HGNC:26417]","ENTREZGENE_ACC"
"9133","9133","CCNB2","cyclin B2 [Source:HGNC Symbol;Acc:HGNC:1580]","ENTREZGENE_ACC"
"22908","22908","SACM1L","SAC1 like phosphatidylinositide phosphatase [Source:HGNC Symbol;Acc:HGNC:17059]","ENTREZGENE_ACC"
"286053","286053","NSMCE2","NSE2 (MMS21) homolog, SMC5-SMC6 complex SUMO ligase [Source:HGNC Symbol;Acc:HGNC:26513]","ENTREZGENE_ACC"
"79796","79796","ALG9","ALG9 alpha-1,2-mannosyltransferase [Source:HGNC Symbol;Acc:HGNC:15672]","ENTREZGENE_ACC"
"9775","9775","EIF4A3","eukaryotic translation initiation factor 4A3 [Source:HGNC Symbol;Acc:HGNC:18683]","ENTREZGENE_ACC"
"4817","4817","NIT1","nitrilase 1 [Source:HGNC Symbol;Acc:HGNC:7828]","ENTREZGENE_ACC"
"29911","29911","HOOK2","hook microtubule tethering protein 2 [Source:HGNC Symbol;Acc:HGNC:19885]","ENTREZGENE_ACC"
"6103","6103","RPGR","retinitis pigmentosa GTPase regulator [Source:HGNC Symbol;Acc:HGNC:10295]","ENTREZGENE_ACC"
"80380","80380","PDCD1LG2","programmed cell death 1 ligand 2 [Source:HGNC Symbol;Acc:HGNC:18731]","ENTREZGENE_ACC"
"392","392","ARHGAP1","Rho GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:673]","ENTREZGENE_ACC"
"219285","219285","SAMD9L","sterile alpha motif domain containing 9 like [Source:HGNC Symbol;Acc:HGNC:1349]","ENTREZGENE_ACC"
"57699","57699","CPNE5","copine 5 [Source:HGNC Symbol;Acc:HGNC:2318]","ENTREZGENE_ACC"
"4967","4967","OGDH","oxoglutarate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8124]","ENTREZGENE_ACC"
"3607","3607","FOXK2","forkhead box K2 [Source:HGNC Symbol;Acc:HGNC:6036]","ENTREZGENE_ACC"
"2747","2747","GLUD2","glutamate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:4336]","ENTREZGENE_ACC"
"323","323","APBB2","amyloid beta precursor protein binding family B member 2 [Source:HGNC Symbol;Acc:HGNC:582]","ENTREZGENE_ACC"
"2794","2794","GNL1","G protein nucleolar 1 (putative) [Source:HGNC Symbol;Acc:HGNC:4413]","ENTREZGENE_ACC"
"55752","55752","SEPTIN11","septin 11 [Source:HGNC Symbol;Acc:HGNC:25589]","ENTREZGENE_ACC"
"55246","55246","CCDC25","coiled-coil domain containing 25 [Source:HGNC Symbol;Acc:HGNC:25591]","ENTREZGENE_ACC"
"51204","51204","TACO1","translational activator of cytochrome c oxidase I [Source:HGNC Symbol;Acc:HGNC:24316]","ENTREZGENE_ACC"
"340371","340371","NRBP2","nuclear receptor binding protein 2 [Source:HGNC Symbol;Acc:HGNC:19339]","ENTREZGENE_ACC"
"5883","5883","RAD9A","RAD9 checkpoint clamp component A [Source:HGNC Symbol;Acc:HGNC:9827]","ENTREZGENE_ACC"
"55862","55862","ECHDC1","ethylmalonyl-CoA decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:21489]","ENTREZGENE_ACC"
"22976","22976","PAXIP1","PAX interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:8624]","ENTREZGENE_ACC"
"11226","11226","GALNT6","polypeptide N-acetylgalactosaminyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:4128]","ENTREZGENE_ACC"
"8924","8924","HERC2","HECT and RLD domain containing E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:4868]","ENTREZGENE_ACC"
"6389","6389","SDHA","succinate dehydrogenase complex flavoprotein subunit A [Source:HGNC Symbol;Acc:HGNC:10680]","ENTREZGENE_ACC"
"5704","5704","PSMC4","proteasome 26S subunit, ATPase 4 [Source:HGNC Symbol;Acc:HGNC:9551]","ENTREZGENE_ACC"
"39","39","ACAT2","acetyl-CoA acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:94]","ENTREZGENE_ACC"
